# Example PREFIRE LBLRTM output
# WL (microns)  Rad(mW m^{-2} sr^{-1} cm)
       0.000      0.00000
       1.000      0.00000
       2.000      0.00000
       3.000      0.00000
       4.000      0.00000
       5.000      0.00000
       6.000      0.00000
       7.000      0.00000
       8.000      0.00000
       9.000     33.22371
      10.000     41.08168
      11.000     54.08083
      12.000     65.47566
      13.000     75.44863
      14.000     83.13979
      15.000     80.33143
      16.000      0.00000
      17.000      0.00000
      18.000     56.90886
      19.000     71.98314
      20.000     91.23215
      21.000    100.39415
      22.000     99.73889
      23.000     98.44719
      24.000     97.05399
      25.000     93.31973
      26.000     91.49847
      27.000     88.32598
      28.000     86.83638
      29.000     84.73738
      30.000     80.15802
      31.000     78.62410
      32.000     75.02392
      33.000     70.36589
      34.000      0.00000
      35.000      0.00000
      36.000     63.37822
      37.000     64.77406
      38.000     62.04421
      39.000     59.53269
      40.000     57.75651
      41.000     53.16500
      42.000     51.47918
      43.000     53.49875
      44.000     54.27006
      45.000     51.34748
      46.000     47.22940
      47.000     44.32413
      48.000     45.54308
      49.000     47.98916
      50.000      0.00000
      51.000     42.00184
      52.000     39.89692
      53.000     40.44012
      54.000     40.73478
      55.000     39.04311
      56.000     38.32547
      57.000     37.71586
      58.000     36.08139
      59.000     35.65830
      60.000     35.70836
      61.000     35.50645
      62.000     35.02372
