# Example TAFTS LBLRTM output
# WN (cm^{-1})  Rad(mW m^{-2} sr^{-1} cm)
     100.000      3.25478
     100.010      3.08683
     100.020      2.92426
     100.030      2.76806
     100.040      2.61914
     100.050      2.47818
     100.060      2.34564
     100.070      2.22176
     100.080      2.10656
     100.090      1.99991
     100.100      1.90165
     100.110      1.81159
     100.120      1.72961
     100.130      1.65563
     100.140      1.58959
     100.150      1.53138
     100.160      1.48083
     100.170      1.43758
     100.180      1.40112
     100.190      1.37077
     100.200      1.34574
     100.210      1.32520
     100.220      1.30836
     100.230      1.29457
     100.240      1.28335
     100.250      1.27437
     100.260      1.26746
     100.270      1.26251
     100.280      1.25946
     100.290      1.25813
     100.300      1.25830
     100.310      1.25961
     100.320      1.26164
     100.330      1.26396
     100.340      1.26621
     100.350      1.26815
     100.360      1.26969
     100.370      1.27090
     100.380      1.27197
     100.390      1.27315
     100.400      1.27465
     100.410      1.27661
     100.420      1.27901
     100.430      1.28171
     100.440      1.28444
     100.450      1.28692
     100.460      1.28886
     100.470      1.29010
     100.480      1.29060
     100.490      1.29047
     100.500      1.28994
     100.510      1.28927
     100.520      1.28872
     100.530      1.28844
     100.540      1.28846
     100.550      1.28868
     100.560      1.28886
     100.570      1.28876
     100.580      1.28812
     100.590      1.28682
     100.600      1.28484
     100.610      1.28232
     100.620      1.27953
     100.630      1.27676
     100.640      1.27430
     100.650      1.27233
     100.660      1.27091
     100.670      1.26996
     100.680      1.26925
     100.690      1.26853
     100.700      1.26756
     100.710      1.26617
     100.720      1.26433
     100.730      1.26217
     100.740      1.25991
     100.750      1.25783
     100.760      1.25618
     100.770      1.25514
     100.780      1.25475
     100.790      1.25490
     100.800      1.25535
     100.810      1.25584
     100.820      1.25608
     100.830      1.25590
     100.840      1.25524
     100.850      1.25420
     100.860      1.25300
     100.870      1.25189
     100.880      1.25114
     100.890      1.25093
     100.900      1.25129
     100.910      1.25213
     100.920      1.25322
     100.930      1.25429
     100.940      1.25507
     100.950      1.25537
     100.960      1.25514
     100.970      1.25447
     100.980      1.25357
     100.990      1.25272
     101.000      1.25219
     101.010      1.25215
     101.020      1.25266
     101.030      1.25363
     101.040      1.25485
     101.050      1.25606
     101.060      1.25696
     101.070      1.25739
     101.080      1.25728
     101.090      1.25671
     101.100      1.25588
     101.110      1.25508
     101.120      1.25457
     101.130      1.25454
