# Example ARIES LBLRTM output
# WN (cm^{-1})  Rad(mW m^{-2} sr^{-1} cm)
     623.902      4.72728
     624.002      4.65818
     624.102      4.86141
     624.202      5.27946
     624.302      5.81834
     624.402      6.36748
     624.502      6.82191
     624.602      7.10180
     624.702      7.16574
     624.802      7.01522
     624.902      6.69043
     625.003      6.25897
     625.103      5.80055
     625.203      5.39137
     625.303      5.09128
     625.403      4.93565
     625.503      4.93290
     625.603      5.06685
     625.703      5.30250
     625.803      5.59364
     625.903      5.89053
     626.003      6.14679
     626.103      6.32495
     626.203      6.40045
     626.303      6.36415
     626.403      6.22323
     626.503      6.00022
     626.603      5.72989
     626.703      5.45408
     626.803      5.21497
     626.903      5.04763
     627.003      4.97359
     627.103      4.99664
     627.203      5.10219
     627.303      5.26057
     627.403      5.43350
     627.503      5.58248
     627.603      5.67684
     627.703      5.69974
     627.803      5.65049
     627.903      5.54307
     628.003      5.40131
     628.103      5.25237
     628.203      5.12034
     628.303      5.02162
     628.403      4.96293
     628.503      4.94210
     628.603      4.95086
     628.703      4.97834
     628.803      5.01416
     628.903      5.05028
     629.003      5.08139
     629.103      5.10425
     629.203      5.11671
     629.303      5.11712
     629.403      5.10438
     629.503      5.07868
     629.603      5.04231
     629.703      4.99995
     629.803      4.95802
     629.903      4.92308
     630.003      4.89976
     630.103      4.88893
     630.203      4.88716
     630.303      4.88761
     630.403      4.88248
     630.503      4.86615
     630.603      4.83793
     630.703      4.80325
     630.803      4.77268
     630.903      4.75880
     631.003      4.77186
     631.103      4.81553
     631.203      4.88437
     631.303      4.96405
     631.403      5.03445
     631.503      5.07498
     631.603      5.07053
     631.703      5.01624
     631.803      4.91949
     631.903      4.79845
     632.003      4.67754
     632.103      4.58104
     632.203      4.52675
     632.303      4.52167
     632.403      4.56070
     632.503      4.62877
     632.603      4.70554
     632.703      4.77110
     632.803      4.81100
     632.903      4.81912
     633.003      4.79788
     633.103      4.75589
     633.203      4.70432
     633.303      4.65316
     633.403      4.60872
     633.503      4.57301
     633.603      4.54480
     633.703      4.52182
     633.803      4.50287
     633.903      4.48902
     634.003      4.48335
     634.103      4.48937
     634.203      4.50887
     634.303      4.54007
     634.403      4.57706
     634.503      4.61076
     634.603      4.63136
     634.703      4.63134
     634.803      4.60819
     634.903      4.56569
     635.004      4.51335
     635.104      4.46405
     635.204      4.43052
     635.304      4.42173
     635.404      4.44037
     635.504      4.48196
     635.604      4.53608
     635.704      4.58913
     635.804      4.62792
     635.904      4.64298
     636.004      4.63074
     636.104      4.59406
     636.204      4.54111
